ID,Symbol,Open time,Volume,Side,Close time,Open price,Close Price,Stop loss,Take profit,Swap,Commission,Profit,Reason
W06848381631778386,XAUUSD,2025-08-08T05:02:55.455,0.22,SELL,2025-08-08T05:15:52.685,3393.50,3394.45,3397.13,3390.73,0.00,-1.10,-22.00,User
W70730757401769401,XAUUSD,2025-08-08T04:31:03.29,0.10,BUY,2025-08-08T04:58:12.053,3398.20,3394.72,3394.74,3402.16,0.00,-0.50,-35.30,Stop Loss
W70726465391770686,XAUUSD,2025-08-08T04:24:54.673,0.09,BUY,2025-08-08T04:58:11.849,3398.30,3394.74,3394.79,3402.16,0.00,-0.45,-32.49,Stop Loss
W70726465391769639,XAUUSD,2025-08-08T03:50:41.363,0.11,SELL,2025-08-08T04:23:10.81,3395.29,3398.21,3397.76,3390.50,0.00,-0.55,-32.67,Stop Loss
W70726465391700314,XAUUSD,2025-08-07T09:55:20.681,0.20,SELL,2025-08-07T10:00:57.498,3378.28,3375.73,3380.53,3375.85,0.00,-1.00,50.00,Take Profit
W06848381631706342,XAUUSD,2025-08-07T09:33:51.105,0.06,SELL,2025-08-07T09:46:02.502,3375.02,3380.45,3380.31,3372.64,0.00,-0.30,-32.88,Stop Loss
W70726465391696396,XAUUSD,2025-08-07T09:09:52.76,0.08,SELL,2025-08-07T09:30:02.388,3379.18,3377.03,3382.53,3372.56,0.00,-0.40,16.80,User
W06848381631696620,XAUUSD,2025-08-07T07:52:46.145,0.10,BUY,2025-08-07T08:00:03.249,3395.74,3396.20,3393.37,3398.75,0.00,-0.50,4.10,User
W06848381631695205,XAUUSD,2025-08-07T07:37:10.125,0.10,BUY,2025-08-07T07:49:51.801,3394.12,3395.60,3391.64,3395.60,0.00,-0.50,14.30,Take Profit
W70730757401681325,XAUUSD,2025-08-07T06:26:15.986,0.04,BUY,2025-08-07T06:42:12.63,3378.90,3384.15,3377.37,3384.13,0.00,-0.20,20.80,Take Profit
W70726465391680897,XAUUSD,2025-08-07T06:23:49.802,0.14,BUY,2025-08-07T06:33:58.361,3379.22,3380.51,3377.34,3381.58,0.00,-0.70,17.36,User
W06848381631686927,XAUUSD,2025-08-07T05:53:57.662,0.06,BUY,2025-08-07T06:02:23.069,3373.32,3377.25,3371.64,3377.19,0.00,-0.30,23.28,Take Profit
W06848381631685815,GBPUSD,2025-08-07T05:37:08.669,0.40,BUY,2025-08-07T05:42:01.451,1.33666,1.33638,1.33638,1.33712,0.00,-2.00,-13.20,Stop Loss
W70730757401677519,GBPUSD,2025-08-07T05:37:09.016,1.40,BUY,2025-08-07T05:42:01.401,1.33654,1.33638,1.33638,1.33712,0.00,-7.00,-29.40,Stop Loss
W70726465391614613,XAUUSD,2025-08-06T12:01:04.133,0.19,SELL,2025-08-06T12:36:55.694,3364.04,3361.31,3365.90,3361.29,0.00,-0.95,50.92,Take Profit
W70730757401614723,XAUUSD,2025-08-06T12:00:24.588,0.19,BUY,2025-08-06T12:00:44.451,3365.20,3363.79,3363.88,3368.53,0.00,-0.95,-27.74,Stop Loss
W70726465391613122,XAUUSD,2025-08-06T11:40:41.198,0.16,SELL,2025-08-06T11:56:53.934,3365.83,3365.82,3365.78,3363.28,0.00,-0.80,-0.64,Stop Loss
W06848381631603062,XAUUSD,2025-08-06T08:07:36.017,0.06,SELL,2025-08-06T08:25:13,3369.94,3367.76,3369.89,3364.68,0.00,-0.30,12.78,User
W70726465391582139,XAUUSD,2025-08-06T06:02:56.019,0.05,BUY,2025-08-06T06:04:46.042,3375.57,3376.28,0.00,3376.27,0.00,-0.25,3.30,Take Profit
W70730757401580299,XAUUSD,2025-08-06T05:38:27.451,0.12,BUY,2025-08-06T06:02:13.499,3372.03,3374.59,3372.69,3374.56,0.00,-0.60,30.12,Take Profit
W70730757401580024,XAUUSD,2025-08-06T05:35:12.456,0.12,BUY,2025-08-06T05:36:38.186,3372.27,3370.81,3370.84,3373.96,0.00,-0.60,-18.12,Stop Loss
